ああ,嗚呼,Ah!;Oh!;Alas!
きかい,機会,chance;opportunity
きかい,機械,machine;mechanism
きかえる,着替える,to change one's clothes
きかく,企画,planning;project
きかく,規格,standard;norm
きかざる,着飾る,to dress up
きかん,器官,organ (of body);instrument
きかん,季刊,quarterly (e.g. magazine)
きかん,期間,period;term
きかん,機関,organ;mechanism;facility;engine
きかんしゃ,機関車,locomotive;engine
きがい,危害,injury;harm;danger
きがね,気兼ね,hesitance;diffidence;feeling constraint;fear of troubling someone;having scruples about doing something
きがる,気軽,cheerful;buoyant;lighthearted
きき,危機,crisis
ききとり,聞き取り,listening comprehension
ききめ,効き目,effect;virtue;efficacy;impression
ききょう,帰京,returning to Tokyo
ききん,基金,fund;foundation
ききん,飢饉,famine
きぎょう,企業,enterprise;undertaking
きく,聞く,to hear;to listen;to ask
きく,効く,to be effective
きぐ,器具,utensil
きけん,棄権,abstain from voting;renunciation of a right
きけん,危険,danger;peril;hazard
きげき,喜劇,comedy;funny show
きげん,起源,origin;beginning;rise
きげん,期限,term;period
きげん,機嫌,humour;temper;mood
きこう,機構,mechanism;organization
きこう,気候,climate
きこえる,聞こえる,to be heard;to be audible
きこん,既婚,marriage;married
きごう,記号,symbol;code
きさい,記載,mention;entry
きざ,気障,affectation;conceit;snobbery
きざし,兆し,signs;omen;symptoms
きざし,兆,signs;omen;symptoms
きざむ,刻む,to mince;to carve;to engrave;to cut fine;to chop up;to hash;to chisel;to notch
きし,岸,bank;coast;shore
きしむ,軋む,to jar;to creak;to grate
きしゃ,汽車,train (steam)
きしゃ,記者,reporter
きしょう,気象,weather;climate
きしょう,起床,rising;getting out of bed
きじ,生地,cloth;material;texture;ones true character;unglazed pottery
きじ,記事,article;news story;report;account
きじつ,期日,fixed date;settlement date
きじゅつ,記述,describing;descriptor
きじゅん,基準,standard;basis;criteria;norm
きすう,奇数,odd number
きず,傷,wound;injury;hurt;cut;gash;bruise;scratch;scar;weak point
きずく,築く,to build;to pile up;to amass
きずつく,傷付く,to be hurt;to be wounded;to get injured
きずつける,傷付ける,to wound;to hurt someone's feelings
きせい,規制,regulation
きせつ,季節,season
きせる,着せる,to put on clothes
きせん,汽船,steamship
きそ,基礎,foundation;basis
きそう,寄贈,donation;presentation
きそく,規則,rule;regulations
きぞく,貴族,noble;aristocrat
きた,北,North
きたい,期待,expectation;anticipation;hope
きたい,気体,vapour;gas
きたえる,鍛える,to forge;to drill;to temper;to train;to discipline
きたく,帰宅,returning home
きたない,汚い,dirty;unclean;filthy
きたる,来る,to come;to arrive;to be due to;to be next;to be forthcoming
きだて,気立て,disposition;nature
きち,基地,base
きちっと,,exactly;perfectly
きちょう,貴重,precious;valuable
きちょうめん,几帳面,methodical;punctual;steady
きちんと,,precisely;accurately
きっかけ,切っ掛け,chance;start;cue;excuse;motive;impetus;occasion
きっかり,,exactly;precisely
きっさ,喫茶,tea drinking;tea house
きっちり,,precisely;tightly
きって,切手,stamp (postage);merchandise certificate
きっと,屹度,1.  (uk) surely;undoubtedly;certainly;without fail; 2.  sternly;severely
きっぱり,,clearly;plainly;distinctly
きっぷ,切符,ticket
きつい,,tight;close;intense
きづく,気付く,to notice;to become aware of;to perceive;to realize
きてい,規定,regulation;provisions
きてん,起点,starting point
きどう,軌道,orbit;railroad track
きにいる,気に入る,to be pleased with;to suit
きにゅう,記入,entry;filling in of forms
きぬ,絹,silk
きねん,記念,commemoration;memory
きのう,昨日,yesterday
きのう,機能,function;faculty
きのえ,甲,1st in rank;first sign of the Chinese calendar;shell;instep;grade A
きのどく,気の毒,pitiful;a pity
きはい,気配,indication;market trend;worry
きはん,規範,model;standard;pattern;norm;criterion;example
きばん,基盤,foundation;basis
きひん,気品,aroma
きびしい,厳しい,severe;strict;stern;austere;grave;solemn;majestic;intense (cold)
きふ,寄付,contribution;donation
きふう,気風,character;traits;ethos
きふく,起伏,undulation
きぶん,気分,feeling;mood
きほん,基本,foundation;basis;standard
きぼ,規模,scale;scope;plan;structure
きぼう,希望,hope;wish;aspiration
きまぐれ,気まぐれ,whim;caprice;whimsy;fickle;moody;uneven temper
きまじめ,生真面目,too serious;person who is too serious;honesty;sincerity
きまつ,期末,end of term
きまり,決まり,settlement;conclusion;regulation;rule;custom
きまりわるい,決まり悪い,feeling awkward;being ashamed
きまる,決まる,to be decided;to be settled;to look good in (clothes)
きみ,君,you (masc. term for female)
きみ,気味,sensation;feeling
きみょう,奇妙,strange;queer;curious
きめい,記名,signature;register
きめる,決める,to decide
きもち,気持ち,feeling;sensation;mood
きもの,着物,kimono
きゃく,客,guest;customer
きゃくしょく,脚色,dramatization (e.g. film)
きゃくせき,客席,guest seating
きゃくほん,脚本,scenario
きゃくま,客間,parlor;guest room
きゃっかん,客観,objective
きやく,規約,agreement;rules;code
きゅう,九,(num) nine
きゅう,旧,ex-
きゅう,級,class  grade  rank;school class  grade
きゅう,球,globe;sphere;ball
きゅうえん,救援,relief;rescue;reinforcement
きゅうか,休暇,holiday;day off;furlough
きゅうがく,休学,temporary absence from school;suspension
きゅうきょく,究極,ultimate;final;eventual
きゅうぎょう,休業,closed (e.g. store);business suspended;shutdown;holiday
きゅうくつ,窮屈,narrow;tight;stiff;rigid;uneasy;formal;constrained
きゅうけい,休憩,rest;break;recess;intermission
きゅうげき,急激,sudden;precipitous;radical
きゅうこう,急行,express (e.g. train that bypasses many stations)
きゅうこう,休講,lecture cancelled
きゅうこん,球根,(plant) bulb
きゅうさい,救済,relief;aid;rescue;salvation;help
きゅうしゅう,吸収,absorption;suction;attraction
きゅうしょく,給食,school lunch;providing a meal
きゅうじ,給仕,office boy (girl);page;waiter
きゅうじょ,救助,relief;aid;rescue
きゅうせん,休戦,truce;armistice
きゅうそく,急速,rapid (e.g. progress)
きゅうそく,休息,rest;relief;relaxation
きゅうち,旧知,old friend;old friendship
きゅうでん,宮殿,palace
きゅうぼう,窮乏,poverty
きゅうよ,給与,allowance;grant;supply
きゅうよう,休養,rest;break;recreation
きゅうりょう,丘陵,hill
きゅうりょう,給料,salary;wages
きょう,共,both;neither (neg);all;and;as well as;including;with;together with;plural ending
きょう,今日,today;this day
きょう,供,offer;present;submit;serve (a meal);supply
きょうい,驚異,wonder;miracle
きょういく,教育,training;education
きょういん,教員,teaching staff
きょうか,教科,subject;curriculum
きょうか,強化,strengthen;intensify;reinforce;solidify
きょうかい,協会,association;society;organization
きょうかい,教会,church
きょうかい,境界,boundary
きょうかしょ,教科書,text book
きょうかん,共感,sympathy;response
きょうがく,共学,coeducation
きょうきゅう,供給,supply;provision
きょうぎ,協議,conference;consultation;discussion;negotiation
きょうぎ,競技,game;match;contest
きょうくん,教訓,lesson;precept;moral instruction
きょうぐう,境遇,environment;circumstances
きょうこう,強行,forcing;enforcement
きょうこう,強硬,firm;vigorous;unbending;unyielding;strong;stubborn
きょうさく,凶作,bad harvest;poor crop
きょうさん,共産,communism
きょうざい,教材,teaching materials
きょうし,教師,teacher (classroom)
きょうしつ,教室,classroom
きょうしゅう,教習,training;instruction
きょうしゅう,郷愁,nostalgia;homesickness
きょうしゅく,恐縮,shame;very kind of you;sorry to trouble
きょうしょく,教職,teaching certificate;the teaching profession
きょうじゅ,享受,reception;acceptance;enjoyment;being given
きょうじゅ,教授,teaching;instruction;professor
きょうじる,興じる,to amuse oneself;to make merry
きょうせい,強制,obligation;coercion;compulsion;enforcement
きょうそう,競争,competition;contest
きょうそん,共存,coexistence
きょうだい,兄弟,siblings
きょうだい,姉妹,sisters
きょうちょう,協調,co-operation;conciliation;harmony;firm (market) tone
きょうちょう,強調,emphasis;stress;stressed point
きょうつう,共通,commonness;community
きょうてい,協定,arrangement;pact;agreement
きょうど,郷土,native place;birth place;one's old home
きょうどう,共同,cooperation;association;collaboration;joint
きょうはく,脅迫,threat;menace;coercion;terrorism
きょうふ,恐怖,be afraid;dread;dismay;terror
きょうみ,興味,interest (in something)
きょうめい,共鳴,resonance;sympathy
きょうよう,教養,culture;education;refinement;cultivation
きょうり,郷里,birth-place;home town
きょうりょく,協力,cooperation;collaboration
きょうりょく,強力,powerful;strong
きょうれつ,強烈,strong;intense;severe
きょうわ,共和,republicanism;cooperation
きょか,許可,permission;approval
きょく,曲,tune;piece of music
きょく,局,channel (i.e. TV or radio);department;affair;situation
きょくげん,局限,limit;localize
きょくせん,曲線,curve
きょくたん,極端,extreme;extremity
きょじゅう,居住,residence
きょぜつ,拒絶,refusal;rejection
きょだい,巨大,huge;gigantic;enormous
きょねん,去年,last year
きょひ,拒否,denial;veto;rejection;refusal
きょよう,許容,permission;pardon
きょり,距離,distance;range
きよ,寄与,contribution;service
きよい,清い,clear;pure;noble
きよう,器用,skillful;handy
きよらか,清らか,clean;pure;chaste
きらい,嫌い,dislike;hate
きらう,嫌う,to hate;to dislike;to loathe
きらく,気楽,at ease;comfortable
きらびやか,煌びやか,gorgeous;gaudy;dazzling;gay
きり,切り,limits;end;bounds;period;place to leave off;closing sentence;all there is;only;since
きり,霧,fog;mist
きり,桐,paulownia tree
きりかえる,切り替える,to change;to exchange;to convert;to renew;to throw a switch;to replace;to switch over
きりつ,規律,order;rules;law
きりゅう,気流,atmospheric current
きる,切る,to cut;to chop;to hash;to carve;to saw;to clip;to shear;to slice;to strip;to fell;to cut down;to punch;to sever (connections);to pause;to break off;to disconnect;to turn off;to hang up;to cross (a street);to discount;to sell below cost;to shake (water) of
きる,斬る,to behead;to murder
きる,着る,to wear;to put on (from shoulders down)
きれい,奇麗,pretty;clean;nice;tidy;beautiful;fair
きれめ,切れ目,break;pause;gap;end;rift;interruption;cut;section;notch;incision;end (of a task)
きれる,切れる,to cut well;to be sharp;to break;to snap;to wear out;to be injured;to burst;to collapse;to break off;to be disconnected;to be out of;to expire;to sever (connections) with;sharp;shrewd;less than
きろく,記録,record;minutes;document
きわ,際,edge;brink;verge;side
きわた,木綿,cotton
きわめて,極めて,exceedingly;extremely
きをつける,気を付ける,to be careful;to pay attention;to take care
きん,僅,a little;small quantity
きんえん,禁煙,No Smoking!
きんがく,金額,amount of money
きんがん,近眼,nearsightedness;shortsightedness;myopia
きんきゅう,緊急,urgent;pressing;emergency
きんきん,近々,nearness;before long
きんぎょ,金魚,goldfish
きんこう,近郊,suburbs;outskirts
きんこう,均衡,equilibrium;balance
きんし,近視,shortsightedness
きんし,禁止,prohibition;ban
きんじょ,近所,neighbourhood
きんじる,禁じる,to prohibit
きんずる,禁ずる,to forbid;to suppress
きんせん,金銭,money;cash
きんぞく,金属,metal
きんだい,近代,present day
きんちょう,緊張,tension;mental strain;nervousness
きんにく,筋肉,muscle;sinew
きんべん,勤勉,industry;diligence
きんむ,勤務,service;duty;work
きんもつ,禁物,taboo;forbidden thing
きんゆう,金融,monetary circulation;credit situation
きんよう,金曜,Friday
きんろう,勤労,labor;exertion;diligent service
ぎあん,議案,legislative bill
ぎいん,議員,member of the Diet  congress or parliament
ぎかい,議会,Diet;congress;parliament
ぎきょく,戯曲,play;drama
ぎけつ,議決,resolution;decision;vote
ぎし,技師,engineer;technician
ぎしき,儀式,ceremony;rite;ritual;service
ぎじどう,議事堂,Diet building
ぎじゅつ,技術,art;technique;technology;skill
ぎせい,犠牲,sacrifice
ぎぞう,偽造,forgery;falsification;fabrication;counterfeiting
ぎだい,議題,topic of discussion;agenda
ぎちょう,議長,chairman
ぎっしり,,tightly;fully
ぎのう,技能,technical skill;ability;capacity
ぎむ,義務,duty;obligation;responsibility
ぎもん,疑問,question;problem;doubt;guess
ぎゃく,逆,reverse;opposite
ぎゃくてん,逆転,(sudden) change;reversal;turn-around;coming from behind (baseball)
ぎゅうにゅう,牛乳,(cow's) milk
ぎょう,行,line;row;verse
ぎょうぎ,行儀,manners
ぎょうしゃ,業者,trader;merchant
ぎょうじ,行事,event;function
ぎょうせい,行政,administration
ぎょうせき,業績,achievement;performance;results;work;contribution
ぎょうむ,業務,business;affairs;duties;work
ぎょうれつ,行列,line;procession;matrix (math)
ぎょぎょう,漁業,fishing (industry)
ぎょく,玉,king (shogi)
ぎょせん,漁船,fishing boat
ぎょそん,漁村,fishing village
ぎり,義理,duty;sense of duty;honor;decency;courtesy;debt of gratitude;social obligation
ぎろん,議論,argument;discussion;dispute
ぎわく,疑惑,doubt;misgivings;distrust;suspicion
ぎん,銀,1.  silver;silver coin;silver paint; 2.  silver general (shogi)
ぎんこう,銀行,bank
ぎんみ,吟味,testing;scrutiny;careful investigation
く,九,(num) nine
く,句,phrase;clause;sentence;passage;paragraph;expression;line;verse;stanze;17-syllable poem
く,区,ward;district;section
くいき,区域,limits;boundary;domain;zone;sphere;territory
くいちがう,食い違う,to cross each other;to run counter to;to differ;to clash;to go awry
くう,食う,to eat
くうき,空気,air;atmosphere
くうこう,空港,airport
くうそう,空想,daydream;phantasy;fancy;vision
くうちゅう,空中,sky;air
くうふく,空腹,hunger
くかく,区画,division;section;compartment;boundary;area;block
くかん,区間,section (of track  etc)
くき,茎,stalk
くぎ,釘,nail
くぎり,区切り,an end;a stop;punctuation
くぎる,区切る,to punctuate;to cut off;to mark off;to stop;to put an end to
くぐる,潜る,1.  to drive;to pass through; 2.  to evade;to hide; 3.  to dive (into or under water);to go underground
くさ,草,grass
くさい,臭い,stinking
くさぐさ,種々,variety
くさり,鎖,chain
くさる,腐る,to rot;to go bad
くし,櫛,comb
くしゃみ,嚏,sneeze
くしん,苦心,pain;trouble;anxiety;diligence;hard work
くじ,旧事,past events;bygones
くじびき,籤引,lottery;drawn lot
くじょう,苦情,complaint;troubles;objection
くすぐったい,擽ぐったい,ticklish
くすり,薬,medicine
くすりゆび,薬指,ring finger
くず,屑,waste;scrap
くずす,崩す,to destroy;to pull down;to make change (money)
くずれる,崩れる,to collapse;to crumble
くせ,癖,a habit (often a bad habit  i.e. vice);peculiarity
くたびれる,草臥れる,to get tired;to wear out
くだく,砕く,to break;to smash
くだける,砕ける,to break;to be broken
くださる,下さる,to give;to confer
くだもの,果物,fruit
くだらない,下らない,good-for-nothing;stupid;trivial;worthless
くだり,下り,down-train (going away from Tokyo)
くだる,下る,to get down;to descend
くだん,件,example;precedent;the usual;the said;the above-mentioned;(man) in question
くち,口,mouth;orifice;opening
くちずさむ,口ずさむ,to hum something;to sing to oneself
くちばし,嘴,beak;bill
くちびる,唇,lips
くちべに,口紅,lipstick
くちる,朽ちる,to rot
くっきり,,distinctly;clearly;boldly
くっせつ,屈折,bending;indentation;refraction
くっつく,くっ付く,to adhere to;to keep close to
くっつける,くっ付ける,to attach
くつ,靴,shoes;footwear
くつう,苦痛,pain;agony
くつがえす,覆す,to overturn;to upset;to overthrow;to undermine
くつした,靴下,socks
くとうてん,句読点,punctuation marks
くどい,諄い,verbose;importunate;heavy (taste)
くに,国,country
くにざかい,国境,national or state border
くばる,配る,to distribute;to deliver
くび,首,neck
くびかざり,首飾り,necklace
くびわ,首輪,necklace;choker
くふう,工夫,device;scheme
くぶん,区分,division;section;demarcation;(traffic) lane;compartment;classification;sorting
くべつ,区別,distinction;differentiation;classification
くみ,組,class;group;team;set
くみあい,組合,association;union
くみあわせ,組み合わせ,combination
くみあわせる,組み合わせる,to join together;to combine;to join up
くみこむ,組み込む,to insert;to include;to cut in (printing)
くみたてる,組み立てる,to assemble;to set up;to construct
くむ,組む,to put together
くむ,汲む,to draw (water);to ladle;to dip;to scoop;to pump;to have a drink together;to consider;to sympathize with
くむ,酌む,to serve sake
くも,雲,cloud
くもり,曇り,cloudiness;cloudy weather;shadow
くもる,曇る,to become cloudy;to become dim
くやしい,悔しい,regrettable;mortifying;vexing
くやむ,悔やむ,to mourn
くら,蔵,warehouse;cellar;magazine;granary;godown;depository;treasury;elevator
くらい,位,grade;rank;court order;dignity;nobility;situation;throne;crown;occupying a position;about;almost;as;rather;at least;enough to
くらい,暗い,dark;gloomy
くらし,暮らし,living;livelihood;subsistence;circumstances
くらす,暮らす,to live;to get along
くらべる,比べる,to compare
くりかえす,繰り返す,to repeat;to do something over again
くるう,狂う,to go mad;to get out of order
くるしい,苦しい,painful;difficult
くるしむ,苦しむ,to suffer;to groan;to be worried
くるしめる,苦しめる,to torment;to harass;to inflict pain
くるま,車,car;vehicle;wheel
くるむ,包む,to be engulfed in;to be enveloped by;to wrap up;to tuck in;to pack;to do up;to cover with;to dress in;to conceal
くれ,暮れ,year end;sunset;nightfall;end
くれぐれも,呉れ呉れも,repeatedly;sincerely;earnestly
くれる,呉れる,to give;to let one have;to do for one;to be given
くれる,暮れる,to get dark;to end;to come to an end;to close;to run out
くろ,黒,black;dark
くろい,黒い,black
くろう,苦労,troubles;hardships
くろうと,玄人,expert;professional;geisha;prostitute
くろじ,黒字,balance (figure) in the black
くわえる,加える,to append;to sum up;to add (up);to include;to increase;to inflict
くわしい,詳しい,knowing very well;detailed;full;accurate
くわわる,加わる,to join in;to accede to;to increase;to gain in (influence)
くん,君,Mr (junior);master;boy
くんしゅ,君主,ruler;monarch
くんれん,訓練,practice
ぐあい,具合,condition;state;manner;health
ぐうすう,偶数,even number
ぐうぜん,偶然,(by) chance;unexpectedly;suddenly;accident;fortuity
ぐたい,具体,concrete;tangible;material
ぐち,愚痴,idle complaint;grumble
ぐっすり,,sound asleep;fast asleep
ぐっと,,firmly;fast;much;more
ぐらい,,approximately
ぐん,群,group (math)
ぐん,郡,country;district
ぐんかん,軍艦,warship;battleship
ぐんしゅう,群集,(social) group;crowd;throng;mob;multitude
ぐんじ,軍事,military affairs
ぐんたい,軍隊,army;troops
ぐんび,軍備,armaments;military preparations
ぐんぷく,軍服,military or naval uniform
け,毛,hair;fur
けい,刑,penalty;sentence;punishment
けい,計,plan
けい,頃,time;about;toward;approximately (time)
けい,傾,lean;incline
けい,系,system;lineage;group
けいい,敬意,respect;honour
けいえい,経営,management;administration
けいか,経過,passage;expiration;progress
けいかい,軽快,rhythmical (e.g. melody);casual (e.g. dress);light;nimble
けいかい,警戒,warning;admonition;vigilance
けいかく,計画,plan;project;schedule;scheme;program
けいかん,警官,policeman
けいき,計器,meter;gauge
けいき,契機,opportunity;chance
けいき,景気,condition;state;business (condition)
けいぐ,敬具,Sincerely yours
けいけん,経験,experience
けいげん,軽減,abatement
けいこ,稽古,practice;training;study
けいこう,傾向,tendency;trend;inclination
けいこうとう,蛍光灯,fluorescent lamp;person who is slow to react
けいこく,警告,warning;advice
けいご,敬語,honorific;term of respect
けいさい,掲載,appearance (e.g. article in paper)
けいさつ,警察,police
けいさん,計算,calculation;reckoning
けいざい,経済,economics;business;finance;economy
けいしき,形式,form;formality;format;math expression
けいしゃ,傾斜,inclination;slant;slope;bevel;list;dip
けいじ,掲示,notice;bulletin
けいじ,刑事,criminal case;(police) detective
けいせい,形成,formation
けいせい,形勢,condition;situation;prospects
けいそつ,軽率,rash;thoughtless;careless;hasty
けいぞく,継続,continuation
けいたい,携帯,carrying something
けいたい,形態,form;shape;figure
けいと,毛糸,knitting wool
けいとう,系統,system;family line;geological formation;lineage;ancestry
けいど,経度,longitude
けいば,競馬,horse racing
けいばつ,刑罰,judgement;penalty;punishment
けいひ,経費,expenses;cost;outlay
けいび,警備,defense;guard;policing;security
けいぶ,警部,police inspector
けいべつ,軽蔑,scorn;disdain
けいやく,契約,contract;compact;agreement
けいゆ,経由,go by the way;via
けいようし,形容詞,true adjective
けいようどうし,形容動詞,adjectival noun;quasi-adjective
けいれき,経歴,personal history;career
けいろ,経路,course;route;channel
けが,怪我,injury (to animate object);hurt
けがす,汚す,to disgrace;to dishonour
けがらわしい,汚らわしい,filthy;unfair
けがれ,汚れ,uncleanness;impurity;disgrace
けがれる,汚れる,to get dirty;to become dirty
けがわ,毛皮,fur;skin;pelt
けさ,今朝,this morning
けしき,景色,scenery;scene;landscape
けしょう,化粧,make-up (cosmetic)
けしゴム,消しゴム,eraser;India rubber
けす,消す,to erase;to delete;to turn off power
けずる,削る,to shave (wood or leather);to sharpen;to plane;to whittle;to pare;to scrape off;to crossout;to reduce;to curtail
けた,桁,column;beam;digit
けだもの,獣,beast;brute
けち,吝嗇,stinginess;miser;miserliness;skinflint;tightwad;niggard;pinching pennies
けっか,結果,result;consequence
けっかく,結核,tuberculosis;tubercule
けっかん,血管,blood vessel
けっかん,欠陥,defect;fault;deficiency
けっきょく,結局,after all;eventually
けっこう,決行,doing (with resolve);carrying out (i.e. a plan)
けっこう,結構,1.  (uk) splendid;nice;well enough;tolerably;wonderful;delicious;sweet; 2.  (arch) construction;architecture
けっこん,結婚,marriage
けっさく,傑作,masterpiece;best work;boner;blunder
けっさん,決算,balance sheet;settlement of accounts
けっして,決して,never;by no means
けっしょう,決勝,decision of a contest;finals (in sports)
けっしょう,結晶,crystal;crystallization
けっしん,決心,determination;resolution
けっせい,結成,formation
けっせき,欠席,absence;non-attendance
けっそく,結束,union;unity
けってい,決定,decision;determination
けってん,欠点,faults;defect;weakness
けつ,傑,excellence
けつあつ,血圧,blood pressure
けつい,決意,decision;determination
けつえき,血液,blood
けつぎ,決議,resolution;vote;decision
けつごう,結合,combination;union
けつだん,決断,decision;determination
けつぼう,欠乏,want;shortage;famine
けつろん,結論,conclusion
けとばす,蹴飛ばす,to kick away;to kick off;to kick (someone);to refuse;to reject
けなす,貶す,to speak ill of
けむい,煙い,smoky
けむたい,煙たい,smoky;feeling awkward
けむり,煙,smoke;fumes
けむる,煙る,to smoke (e.g. fire)
けらい,家来,retainer;retinue;servant
ける,蹴る,to kick
けれど,,but;however
けわしい,険しい,inaccessible place;impregnable position;steep place;sharp eyes
けん,券,ticket;coupon;bond;certificate
けん,圏,sphere;circle;range
けん,権,authority;the right (to do something)
けんい,権威,authority;power;influence
けんか,喧嘩,quarrel;(drunken) brawl;failure
けんかい,見解,opinion;point of view
けんがく,見学,inspection;study by observation;field trip
けんきゅう,研究,study;research;investigation
けんきょ,謙虚,modesty;humility
けんぎょう,兼業,side line;second business
けんげん,権限,power;authority;jurisdiction
けんこう,健康,health;sound;wholesome
けんさ,検査,inspection (e.g. customs  factory);examination
けんざい,健在,in good health;well
けんしゅう,研修,training
けんしょう,懸賞,offering prizes;winning;reward
けんじ,検事,public prosecutor
けんせつ,建設,construction;establishment
けんぜん,健全,health;soundness;wholesome
けんそん,謙遜,humble;humility;modesty
けんち,見地,point of view
けんちく,建築,construction;architecture
けんちょう,県庁,prefectural office
けんとう,見当,be found;aim;mark;estimate;guess;approx;direction
けんとう,検討,consideration;examination;investigation;study;scrutiny
けんびきょう,顕微鏡,microscope
けんぶつ,見物,sightseeing
けんぽう,憲法,constitution
けんめい,賢明,wisdom;intelligence;prudence
けんめい,懸命,eagerness;earnestness;risking one's life
けんやく,倹約,thrift;economy;frugality
けんよう,兼用,multi-use;combined use;combination;serving two purposes
けんり,権利,right;privilege
けんりょく,権力,power;authority;influence
げいじゅつ,芸術,(fine) art;the arts
げいのう,芸能,public entertainment;accomplishments;attainments
げか,外科,surgical department
げき,劇,drama;play
げき,隙,1.  chance or opportunity;chink (in one's armor); 2.  interval;gap
げきじょう,劇場,theatre;playhouse
げきぞう,激増,sudden increase
げきだん,劇団,troupe;theatrical company
げきれい,激励,encouragement
げしゃ,下車,alighting
げしゅく,下宿,boarding;lodging;boarding house
げじゅん,下旬,month (last third of)
げすい,下水,drainage;sewage;ditch;gutter;sewerage
げた,下駄,geta (Japanese footwear);wooden clogs
げっきゅう,月給,monthly salary
げっしゃ,月謝,monthly tuition fee
げっそり,,being disheartened;losing weight
げっぷ,月賦,monthly installment
げつまつ,月末,end of the month
げつよう,月曜,Monday
げり,下痢,diarrhoea
げん,原,original;primitive;primary;fundamental;raw
げんいん,原因,cause;origin;source
げんかい,限界,limit;bound
げんかん,玄関,entranceway;entry hall
げんき,元気,health(y);robust;vigor;energy;vitality;vim;stamina;spirit;courage;pep
げんきん,現金,cash;ready money;mercenary;self-interested
げんけい,原形,original form;base form
げんこう,現行,present;current;in operation
げんこう,原稿,manuscript;copy
げんご,言語,language
げんさく,原作,original work
げんさん,原産,place of origin;habitat
げんざい,現在,present;up to now;nowadays;modern times;current
げんし,原子,atom
げんし,原始,origin;primeval
げんしゅ,元首,ruler;sovereign
げんしょ,原書,original document
げんしょう,減少,decrease;reduction;decline
げんしょう,現象,phenomenon
げんじつ,現実,reality
げんじゅう,厳重,strict;rigour;severe;firm;strong;secure
げんじょう,現状,present condition;existing state;status quo
げんじょう,現場,actual spot;scene;scene of the crime
げんそ,元素,chemical element
げんそく,原則,principle;general rule
げんぞう,現像,developing (film)
げんだい,現代,nowadays;modern times;present-day
げんち,現地,actual place;local
げんてい,限定,limit;restriction
げんてん,原点,origin (coordinates);starting point
げんてん,原典,original (text)
げんてん,減点,subtract;give a demerit
げんど,限度,limit;bounds
げんに,現に,actually;really
げんばく,原爆,atomic bomb
げんぶん,原文,the text;original
げんみつ,厳密,strict;close
げんゆ,原油,crude oil
げんり,原理,principle;theory;fundamental truth
げんりょう,原料,raw materials
げんろん,言論,discussion
こ,故,the late (deceased)
こ,子,child
こ,戸,counter for houses
こ,児,child;the young of animals
こ,巨,big;large;great
こい,恋,love;tender passion
こい,濃い,thick;dense;strong
こいしい,恋しい,1.  dear;beloved;darling; 2.  yearned for
こいする,恋する,to fall in love with;to love
こいびと,恋人,lover;sweetheart
こう,溝,10^38;hundred undecillion (American);hundred sextillion (British)
こう,,in this way
こう,校,-school;proof
こうい,好意,good will;favor;courtesy
こうい,行為,act;deed;conduct
こういん,行員,bank clerk
こううん,幸運,good luck;fortune
こうえき,交易,trade;commerce
こうえん,公演,public performance
こうえん,公園,(public) park
こうえん,講演,lecture;address
こうか,効果,effect;effectiveness;efficacy;result
こうか,硬貨,coin
こうか,高価,high price
こうかい,後悔,regret;repentance
こうかい,公開,presenting to the public
こうかい,航海,sail;voyage
こうかん,交換,exchange;interchange;reciprocity;barter;substitution;clearing (of checks)
こうがい,郊外,suburb;outskirts
こうがい,公害,public nuisance;pollution
こうがく,工学,engineering
こうきゅう,高級,high class;high grade
こうきょ,皇居,Imperial Palace
こうきょう,好況,prosperous conditions;healthy economy
こうきょう,公共,public;community;public service;society;communal
こうぎ,抗議,protest;objection
こうぎ,講義,lecture
こうぎょう,鉱業,mining industry
こうぎょう,興業,industrial enterprise
こうぎょう,工業,(manufacturing) industry
こうくう,航空,aviation;flying
こうけい,光景,scene;spectacle
こうけん,貢献,contribution;services
こうげい,工芸,industrial arts
こうげき,攻撃,attack;strike;offensive;criticism;censure
こうげん,高原,tableland;plateau
こうこう,孝行,filial piety
こうこう,高校,senior high school
こうこうと,煌々と,brilliantly;brightly
こうこがく,考古学,archaeology
こうこく,広告,advertisement
こうご,交互,mutual;reciprocal;alternate
こうさ,交差,cross
こうさい,交際,company;friendship;association;society;acquaintance
こうさく,工作,work;construction;handicraft;maneuvering
こうさく,耕作,cultivation;farming
こうさてん,交差点,crossing;intersection
こうざん,鉱山,mine (ore)
こうし,講師,lecturer
こうしき,公式,formula;formality;official
こうしゃ,校舎,school building
こうしゃ,後者,the latter
こうしゅう,講習,short course;training
こうしゅう,公衆,the public
こうしょう,交渉,negotiations;discussions;connection
こうしょう,高尚,high;noble;refined;advanced
こうしん,行進,march;parade
こうしんりょう,香辛料,spices
こうじ,工事,construction work
こうじつ,口実,excuse
こうじゅつ,口述,verbal statement
こうじょ,控除,subsidy;deduction
こうじょう,向上,elevation;rise;improvement;advancement;progress
こうじょう,工場,factory;plant;mill;workshop
こうすい,降水,rainfall;precipitation
こうすい,香水,perfume
こうずい,洪水,flood
こうせい,公正,justice;fairness;impartiality
こうせい,構成,organization;composition
こうせき,功績,achievements;merit;meritorious service;meritorious deed
こうせん,光線,beam;light ray
こうぜん,公然,open (e.g. secret);public;official
こうそう,抗争,dispute;resistance
こうそう,構想,plan;plot;idea;conception
こうそう,高層,upper
こうそく,拘束,restriction;restraint
こうそく,高速,high speed;high gear
